"","No_simulation","RMSE","Computing_time"
"1",10000,0.0795443627663785,0.0884610000000001
"2",40000,0.0394886398629465,0.343399
"3",160000,0.0197183273627216,1.372937
"4",640000,0.0098513209807973,5.482487
"5",2560000,0.0050966255370724,94.5252319999997
